redundancy,policy,mean_prediction_gain_mean,mean_prediction_gain_std,mean_utility_recovery_mean,mean_utility_recovery_std,mean_duplicate_selections_mean,mean_duplicate_selections_std,duplicate_selection_rate_mean,duplicate_selection_rate_std,negative_transfer_rate_mean,negative_transfer_rate_std,mean_selected_contexts_mean,mean_selected_contexts_std
0,coverage,0.24670134,0.00515599,0.36384144,0.00606900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0,mmr,0.35232512,0.00467040,0.50208415,0.00719651,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0,mur_interval,0.65694632,0.01307809,0.94007125,0.01597375,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.84408000,0.07384113
0,mur_light,0.66362086,0.01012044,0.95748663,0.00739435,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0,oracle,0.68799927,0.00773474,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0,oracle_static,0.68799927,0.00773474,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0,relevance,0.24670134,0.00515599,0.36384144,0.00606900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0,static_utility,0.66363770,0.01097422,0.95808779,0.01507408,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.25,coverage,0.24690931,0.00457905,0.43152902,0.00700399,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.25,mmr,0.33577138,0.00500214,0.56468890,0.00748297,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.25,mur_interval,0.46827993,0.01239428,0.76245884,0.02352275,0.45952000,0.04491182,0.12144667,0.01047955,0.00000000,0.00000000,3.24968000,0.17894746
0.25,mur_light,0.50273570,0.01045465,0.85272348,0.01190088,0.56176000,0.02575360,0.14044000,0.00643840,0.00000000,0.00000000,3.99960000,0.00040000
0.25,oracle,0.58126514,0.00644125,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.25,oracle_static,0.51612360,0.00540223,0.88592659,0.00222629,0.82416000,0.01470945,0.20604000,0.00367736,0.00000000,0.00000000,4.00000000,0.00000000
0.25,relevance,0.23332573,0.00445553,0.40785910,0.00653642,0.22024000,0.00966064,0.05506000,0.00241516,0.00000000,0.00000000,4.00000000,0.00000000
0.25,static_utility,0.49768085,0.01172854,0.84624668,0.01898077,0.81312000,0.01681761,0.20328000,0.00420440,0.00000000,0.00000000,4.00000000,0.00000000
0.5,coverage,0.24982111,0.00291338,0.56002763,0.00515084,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mmr,0.31636449,0.00365078,0.68921882,0.00398342,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mur_interval,0.30576939,0.01102083,0.60788053,0.02384729,0.42288000,0.11487607,0.11599333,0.02982753,0.00000000,0.00000000,2.30952000,0.20988099
0.5,mur_light,0.36524649,0.00301890,0.79876869,0.00219187,0.92040000,0.06314808,0.23019333,0.01574801,0.00000000,0.00000000,3.99280000,0.00778203
0.5,oracle,0.44705027,0.00406059,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,oracle_static,0.35116539,0.00281495,0.78181457,0.00697829,1.68048000,0.02145582,0.42012000,0.00536395,0.00000000,0.00000000,4.00000000,0.00000000
0.5,relevance,0.21564513,0.00231053,0.48407009,0.00599974,0.54608000,0.01267565,0.13652000,0.00316891,0.00000000,0.00000000,4.00000000,0.00000000
0.5,static_utility,0.33990410,0.00647548,0.74662849,0.01528603,1.66504000,0.01149817,0.41626000,0.00287454,0.00000000,0.00000000,4.00000000,0.00000000
0.75,coverage,0.24809560,0.00351811,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.75,mmr,0.24809560,0.00351811,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.75,mur_interval,0.15172168,0.00516814,0.48657993,0.02051661,0.13032000,0.01998680,0.03644667,0.00530244,0.00000000,0.00000000,1.22776000,0.07130363
0.75,mur_light,0.20845998,0.00485652,0.81571195,0.01323683,1.34488000,0.02939306,0.33784000,0.00798190,0.00000000,0.00000000,3.92904000,0.03794691
0.75,oracle,0.24809560,0.00351811,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.99768000,0.00052154
0.75,oracle_static,0.17714888,0.00194484,0.71466154,0.00379398,2.61000000,0.01020980,0.65250000,0.00255245,0.00000000,0.00000000,4.00000000,0.00000000
0.75,relevance,0.17163777,0.00371621,0.69290275,0.00704749,1.21648000,0.00580620,0.30412000,0.00145155,0.00000000,0.00000000,4.00000000,0.00000000
0.75,static_utility,0.17143629,0.00363297,0.66963406,0.01972570,2.58616000,0.01661951,0.64654000,0.00415488,0.00000000,0.00000000,4.00000000,0.00000000
