dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
METRLA,0,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,0,202,pool_all,0.02526833,0.51500000,-2.49240994,16.00000000
METRLA,0,202,relevance,-0.01118635,0.72000000,-0.85197622,4.00000000
METRLA,0,202,mmr,-0.02369739,0.73350000,-2.15841389,4.00000000
METRLA,0,202,static_utility,0.00260251,0.55200000,-1.33832574,4.00000000
METRLA,0,202,cached_mur,0.02356400,0.44550000,-1.32838571,2.14350000
METRLA,0,202,oracle_static,0.14075199,0.16600000,0.43614849,3.96550000
METRLA,0,202,oracle_greedy,0.16365355,0.00000000,1.00000000,3.81500000
METRLA,0,202,ranked_response_q4,0.01904820,0.31600000,-1.04614472,3.18550000
METRLA,6,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,6,202,pool_all,-0.01350274,0.58350000,-3.60868073,16.00000000
METRLA,6,202,relevance,-0.00367046,0.62800000,-0.65405196,4.00000000
METRLA,6,202,mmr,-0.00336693,0.63450000,-1.27025509,4.00000000
METRLA,6,202,static_utility,-0.01232817,0.53300000,-2.22423148,4.00000000
METRLA,6,202,cached_mur,0.00335960,0.37650000,-0.51404035,1.86100000
METRLA,6,202,oracle_static,0.10358684,0.08450000,0.70085216,3.95000000
METRLA,6,202,oracle_greedy,0.11050636,0.00000000,1.00000000,3.81900000
METRLA,6,202,ranked_response_q4,-0.00421607,0.40600000,-0.74184668,2.76300000
METRLA,13,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,13,202,pool_all,-0.00423858,0.61050000,-2.20151782,16.00000000
METRLA,13,202,relevance,-0.02917299,0.67200000,-1.11639392,4.00000000
METRLA,13,202,mmr,-0.02807683,0.66500000,-1.43724966,4.00000000
METRLA,13,202,static_utility,0.00311115,0.52600000,-0.79382765,4.00000000
METRLA,13,202,cached_mur,0.00187168,0.48350000,-0.60919839,2.16850000
