dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
PEMS07,0,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,0,202,pool_all,0.03216009,0.39250000,-1.34220958,16.00000000
PEMS07,0,202,relevance,-0.05018552,0.67100000,-2.46758604,4.00000000
PEMS07,0,202,mmr,-0.03967660,0.62050000,-2.45281291,4.00000000
PEMS07,0,202,static_utility,0.01692763,0.41550000,-0.90158004,4.00000000
PEMS07,0,202,cached_mur,0.01873806,0.38700000,-0.69196582,3.35650000
PEMS07,0,202,oracle_static,0.09250775,0.19950000,0.37994313,3.95400000
PEMS07,0,202,oracle_greedy,0.10559692,0.00000000,1.00000000,3.85450000
PEMS07,0,202,ranked_response_q4,0.04266811,0.33600000,-0.77111137,3.21150000
PEMS07,28,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,28,202,pool_all,0.02576690,0.39250000,-0.74342722,16.00000000
PEMS07,28,202,relevance,-0.00879730,0.62350000,-0.59170496,4.00000000
PEMS07,28,202,mmr,-0.00902545,0.58850000,-0.63557947,4.00000000
PEMS07,28,202,static_utility,0.01518082,0.43400000,-0.34390673,4.00000000
PEMS07,28,202,cached_mur,0.01475746,0.24750000,-0.17375678,2.00900000
PEMS07,28,202,oracle_static,0.06885916,0.11650000,0.61595619,3.97500000
PEMS07,28,202,oracle_greedy,0.07545292,0.00000000,1.00000000,3.93000000
PEMS07,28,202,ranked_response_q4,0.03315279,0.30400000,-0.30500695,2.94800000
PEMS07,56,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,56,202,pool_all,0.08488799,0.38400000,-1.33681214,16.00000000
PEMS07,56,202,relevance,-0.05939179,0.73050000,-1.80317342,4.00000000
PEMS07,56,202,mmr,-0.01685122,0.63500000,-1.62540007,4.00000000
PEMS07,56,202,static_utility,0.05548928,0.36700000,-0.24414116,4.00000000
PEMS07,56,202,cached_mur,0.05836629,0.29050000,-0.19685701,2.78500000
PEMS07,56,202,oracle_static,0.13084115,0.10800000,0.64383966,3.95500000
PEMS07,56,202,oracle_greedy,0.13781150,0.00000000,1.00000000,3.91050000
PEMS07,56,202,ranked_response_q4,0.06947841,0.41950000,-0.49752846,3.26550000
PEMS07,85,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,85,202,pool_all,0.02710640,0.38800000,-1.72998714,16.00000000
PEMS07,85,202,relevance,-0.00623017,0.62500000,-0.62176782,4.00000000
PEMS07,85,202,mmr,0.00046671,0.56000000,-0.53634280,4.00000000
PEMS07,85,202,static_utility,0.01244344,0.41800000,-0.35683435,4.00000000
PEMS07,85,202,cached_mur,0.01178285,0.41700000,-0.31437314,3.20050000
PEMS07,85,202,oracle_static,0.04052781,0.05800000,0.78876317,3.94750000
PEMS07,85,202,oracle_greedy,0.04263504,0.00000000,1.00000000,3.93100000
PEMS07,85,202,ranked_response_q4,0.02222326,0.30700000,-0.29825294,3.02300000
PEMS07,113,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,113,202,pool_all,0.02152292,0.39050000,-0.97168350,16.00000000
PEMS07,113,202,relevance,-0.01601020,0.65100000,-1.55644190,4.00000000
PEMS07,113,202,mmr,-0.00833890,0.58650000,-1.56627560,4.00000000
PEMS07,113,202,static_utility,0.01037323,0.47800000,-0.70404929,4.00000000
PEMS07,113,202,cached_mur,0.01345349,0.37400000,-0.34895068,2.53650000
PEMS07,113,202,oracle_static,0.05668252,0.12900000,0.56526655,3.96400000
PEMS07,113,202,oracle_greedy,0.06157574,0.00000000,1.00000000,3.87850000
PEMS07,113,202,ranked_response_q4,0.02543837,0.34800000,-0.62628180,3.15150000
PEMS07,142,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,142,202,pool_all,0.01213788,0.43450000,-1.63056767,16.00000000
PEMS07,142,202,relevance,-0.00270595,0.59750000,-0.38480106,4.00000000
PEMS07,142,202,mmr,0.00112427,0.55850000,-0.50919116,4.00000000
PEMS07,142,202,static_utility,0.00955037,0.46600000,-1.14962149,4.00000000
PEMS07,142,202,cached_mur,0.00782358,0.44450000,-1.22567391,3.39000000
PEMS07,142,202,oracle_static,0.03050453,0.11750000,0.61941791,3.94050000
PEMS07,142,202,oracle_greedy,0.03400102,0.00000000,1.00000000,3.87600000
PEMS07,142,202,ranked_response_q4,0.01346886,0.35750000,-1.58882058,3.01300000
PEMS07,170,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,170,202,pool_all,0.02521382,0.37900000,-1.03231871,16.00000000
PEMS07,170,202,relevance,-0.01983316,0.67350000,-2.72177410,4.00000000
PEMS07,170,202,mmr,-0.00685492,0.57400000,-2.19156504,4.00000000
PEMS07,170,202,static_utility,0.02070098,0.40550000,-0.87891006,4.00000000
PEMS07,170,202,cached_mur,0.01794986,0.39850000,-1.01226866,3.92700000
PEMS07,170,202,oracle_static,0.04722824,0.17350000,0.43388149,3.95950000
PEMS07,170,202,oracle_greedy,0.05422834,0.00000000,1.00000000,3.87250000
PEMS07,170,202,ranked_response_q4,0.02442868,0.33400000,-1.21810853,2.98050000
PEMS07,199,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,199,202,pool_all,0.01314572,0.31550000,-1.42164826,16.00000000
PEMS07,199,202,relevance,0.00841322,0.30350000,-0.36161789,4.00000000
PEMS07,199,202,mmr,0.00597277,0.34000000,-0.61810744,4.00000000
PEMS07,199,202,static_utility,0.00736893,0.41250000,-0.62480921,4.00000000
PEMS07,199,202,cached_mur,0.00587215,0.30150000,-0.34202194,1.79350000
PEMS07,199,202,oracle_static,0.01973565,0.13250000,0.58497244,3.95600000
PEMS07,199,202,oracle_greedy,0.02208588,0.00000000,1.00000000,3.89000000
PEMS07,199,202,ranked_response_q4,0.01073438,0.27300000,-1.18407750,2.61400000
PEMS07,227,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,227,202,pool_all,0.07213834,0.36300000,-0.68820232,16.00000000
PEMS07,227,202,relevance,-0.03343099,0.68050000,-0.85948896,4.00000000
PEMS07,227,202,mmr,-0.01850852,0.59200000,-0.68793261,4.00000000
PEMS07,227,202,static_utility,0.05157483,0.37950000,-0.48606244,4.00000000
PEMS07,227,202,cached_mur,0.04176646,0.32350000,-0.33594164,2.55450000
PEMS07,227,202,oracle_static,0.15598625,0.08400000,0.69843268,3.97300000
PEMS07,227,202,oracle_greedy,0.16352354,0.00000000,1.00000000,3.92950000
PEMS07,227,202,ranked_response_q4,0.08950764,0.29700000,-0.34945953,3.09200000
PEMS07,256,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,256,202,pool_all,0.02403059,0.42400000,-2.20194221,16.00000000
PEMS07,256,202,relevance,-0.00441233,0.56150000,-0.36396837,4.00000000
PEMS07,256,202,mmr,-0.00294808,0.55700000,-0.50607854,4.00000000
PEMS07,256,202,static_utility,0.02298928,0.40500000,-0.57883674,4.00000000
PEMS07,256,202,cached_mur,0.02241975,0.41850000,-0.80951554,3.98800000
PEMS07,256,202,oracle_static,0.06235546,0.07550000,0.73828429,3.94000000
PEMS07,256,202,oracle_greedy,0.06571172,0.00000000,1.00000000,3.91900000
PEMS07,256,202,ranked_response_q4,0.02997931,0.30400000,-0.71490115,2.98100000
PEMS07,284,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,284,202,pool_all,0.01974111,0.33100000,-2.18730664,16.00000000
PEMS07,284,202,relevance,-0.00750963,0.63400000,-3.20959520,4.00000000
PEMS07,284,202,mmr,-0.00430428,0.59300000,-3.18297005,4.00000000
PEMS07,284,202,static_utility,0.00562733,0.46350000,-1.24073839,4.00000000
PEMS07,284,202,cached_mur,0.00702696,0.45750000,-1.60266995,3.91150000
PEMS07,284,202,oracle_static,0.03446244,0.10550000,0.63926554,3.88450000
PEMS07,284,202,oracle_greedy,0.03734042,0.00000000,1.00000000,3.79600000
PEMS07,284,202,ranked_response_q4,0.01605391,0.29600000,-1.60580504,3.37450000
PEMS07,312,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,312,202,pool_all,0.03159272,0.41750000,-1.65547037,16.00000000
PEMS07,312,202,relevance,-0.03781622,0.62300000,-1.32335138,4.00000000
PEMS07,312,202,mmr,-0.02184051,0.60500000,-1.12893403,4.00000000
PEMS07,312,202,static_utility,0.02377697,0.44100000,-0.76050085,4.00000000
PEMS07,312,202,cached_mur,0.02385896,0.42300000,-0.85817003,3.88400000
PEMS07,312,202,oracle_static,0.06696600,0.16850000,0.41679692,3.94450000
PEMS07,312,202,oracle_greedy,0.07870346,0.00000000,1.00000000,3.84350000
PEMS07,312,202,ranked_response_q4,0.03927195,0.39600000,-0.77795535,3.39400000
PEMS07,341,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,341,202,pool_all,0.03491079,0.41300000,-1.34939122,16.00000000
PEMS07,341,202,relevance,-0.01499354,0.56800000,-0.46249491,4.00000000
PEMS07,341,202,mmr,-0.00729151,0.55250000,-0.44928628,4.00000000
PEMS07,341,202,static_utility,0.01497795,0.47700000,-0.60423726,4.00000000
PEMS07,341,202,cached_mur,0.01513492,0.45300000,-0.77043486,3.38350000
PEMS07,341,202,oracle_static,0.08123706,0.11500000,0.63760048,3.96400000
PEMS07,341,202,oracle_greedy,0.09000801,0.00000000,1.00000000,3.91800000
PEMS07,341,202,ranked_response_q4,0.03670879,0.32750000,-1.00697732,2.78550000
PEMS07,369,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,369,202,pool_all,0.02965893,0.38000000,-0.96481913,16.00000000
PEMS07,369,202,relevance,-0.01717066,0.64950000,-0.91910714,4.00000000
PEMS07,369,202,mmr,-0.00792550,0.56850000,-0.73604465,4.00000000
PEMS07,369,202,static_utility,0.01975344,0.43400000,-0.51927465,4.00000000
PEMS07,369,202,cached_mur,0.01451870,0.45800000,-0.53013080,3.78500000
PEMS07,369,202,oracle_static,0.05696121,0.11400000,0.61577672,3.97050000
PEMS07,369,202,oracle_greedy,0.06490311,0.00000000,1.00000000,3.94800000
PEMS07,369,202,ranked_response_q4,0.03226818,0.30350000,-0.34901091,3.17650000
PEMS07,398,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,398,202,pool_all,0.04025519,0.40600000,-1.11894417,16.00000000
PEMS07,398,202,relevance,0.00391306,0.56650000,-0.70554858,4.00000000
PEMS07,398,202,mmr,0.00717914,0.58950000,-0.86730736,4.00000000
PEMS07,398,202,static_utility,0.04197647,0.39800000,-0.84561366,4.00000000
PEMS07,398,202,cached_mur,0.04106068,0.36450000,-0.41201296,3.31500000
PEMS07,398,202,oracle_static,0.09943535,0.14350000,0.53426802,3.95450000
PEMS07,398,202,oracle_greedy,0.10852555,0.00000000,1.00000000,3.90350000
PEMS07,398,202,ranked_response_q4,0.06430945,0.26600000,-1.49408221,3.13200000
PEMS07,426,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,426,202,pool_all,0.00266077,0.42550000,-2.20290446,16.00000000
PEMS07,426,202,relevance,0.00002084,0.38400000,-0.08326228,4.00000000
PEMS07,426,202,mmr,-0.00076272,0.42200000,-0.59779882,4.00000000
PEMS07,426,202,static_utility,0.00221799,0.49000000,-1.08004105,4.00000000
PEMS07,426,202,cached_mur,-0.00004288,0.41800000,-1.92030334,1.39300000
PEMS07,426,202,oracle_static,0.01297682,0.08850000,0.69586283,3.97350000
PEMS07,426,202,oracle_greedy,0.01353140,0.00000000,1.00000000,3.93500000
PEMS07,426,202,ranked_response_q4,0.00401468,0.26000000,-1.78804445,1.97150000
PEMS07,455,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,455,202,pool_all,0.02509701,0.38000000,-1.11271036,16.00000000
PEMS07,455,202,relevance,-0.00721156,0.57300000,-0.57070965,4.00000000
PEMS07,455,202,mmr,-0.00145617,0.56800000,-0.65931314,4.00000000
PEMS07,455,202,static_utility,0.01869027,0.35750000,-0.22390598,4.00000000
PEMS07,455,202,cached_mur,0.01874376,0.36200000,-0.24029694,3.95200000
PEMS07,455,202,oracle_static,0.04300683,0.08950000,0.70107007,3.94550000
PEMS07,455,202,oracle_greedy,0.04713387,0.00000000,1.00000000,3.91500000
PEMS07,455,202,ranked_response_q4,0.02488665,0.29550000,-0.34437618,2.94600000
PEMS07,483,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,483,202,pool_all,0.02821183,0.40500000,-2.56318164,16.00000000
PEMS07,483,202,relevance,-0.02598376,0.67450000,-1.65652037,4.00000000
PEMS07,483,202,mmr,-0.02328236,0.63350000,-1.32551241,4.00000000
PEMS07,483,202,static_utility,0.01795906,0.44000000,-1.60634804,4.00000000
PEMS07,483,202,cached_mur,0.01831110,0.44700000,-0.51221192,3.68000000
PEMS07,483,202,oracle_static,0.07745232,0.11000000,0.64814687,3.96750000
PEMS07,483,202,oracle_greedy,0.08430849,0.00000000,1.00000000,3.91550000
PEMS07,483,202,ranked_response_q4,0.03890637,0.33350000,-0.60214067,3.17100000
PEMS07,512,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,512,202,pool_all,0.00266077,0.42550000,-2.20290446,16.00000000
PEMS07,512,202,relevance,0.00002084,0.38400000,-0.08326228,4.00000000
PEMS07,512,202,mmr,-0.00076272,0.42200000,-0.59779882,4.00000000
PEMS07,512,202,static_utility,0.00221799,0.49000000,-1.08004105,4.00000000
PEMS07,512,202,cached_mur,-0.00004288,0.41800000,-1.92030334,1.39300000
PEMS07,512,202,oracle_static,0.01297682,0.08850000,0.69586283,3.97350000
PEMS07,512,202,oracle_greedy,0.01353140,0.00000000,1.00000000,3.93500000
PEMS07,512,202,ranked_response_q4,0.00401468,0.26000000,-1.78804445,1.97150000
PEMS07,540,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,540,202,pool_all,0.02387772,0.38200000,-0.81680673,16.00000000
PEMS07,540,202,relevance,-0.00893586,0.60750000,-0.29331410,4.00000000
PEMS07,540,202,mmr,-0.00507815,0.54200000,-0.38696063,4.00000000
PEMS07,540,202,static_utility,0.01195093,0.40900000,-0.26476482,4.00000000
PEMS07,540,202,cached_mur,0.01286609,0.38450000,-0.25601596,3.58400000
PEMS07,540,202,oracle_static,0.06615686,0.06600000,0.73503935,3.97450000
PEMS07,540,202,oracle_greedy,0.07097531,0.00000000,1.00000000,3.94250000
PEMS07,540,202,ranked_response_q4,0.02428625,0.30300000,-0.27977034,2.85650000
PEMS07,569,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,569,202,pool_all,0.05657602,0.39400000,-1.91304469,16.00000000
PEMS07,569,202,relevance,-0.04435196,0.65150000,-2.54182720,4.00000000
PEMS07,569,202,mmr,-0.01251795,0.60100000,-1.04935443,4.00000000
PEMS07,569,202,static_utility,0.03110427,0.43000000,-1.64168775,4.00000000
PEMS07,569,202,cached_mur,0.03130927,0.39050000,-0.80853087,3.05500000
PEMS07,569,202,oracle_static,0.11396120,0.10150000,0.63515973,3.96500000
PEMS07,569,202,oracle_greedy,0.12332556,0.00000000,1.00000000,3.91150000
PEMS07,569,202,ranked_response_q4,0.05508871,0.34050000,-0.70290101,3.44950000
PEMS07,597,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,597,202,pool_all,0.02707252,0.41750000,-0.84683812,16.00000000
PEMS07,597,202,relevance,-0.01386841,0.64750000,-1.33126223,4.00000000
PEMS07,597,202,mmr,-0.00951680,0.60650000,-1.25262594,4.00000000
PEMS07,597,202,static_utility,0.01213861,0.45550000,-0.57709581,4.00000000
PEMS07,597,202,cached_mur,0.01469513,0.44650000,-0.57915598,3.30150000
PEMS07,597,202,oracle_static,0.06911851,0.14400000,0.53724551,3.96550000
PEMS07,597,202,oracle_greedy,0.07662997,0.00000000,1.00000000,3.89600000
PEMS07,597,202,ranked_response_q4,0.03266341,0.35700000,-0.88001430,3.41550000
PEMS07,625,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,625,202,pool_all,0.01160290,0.41400000,-1.36199856,16.00000000
PEMS07,625,202,relevance,-0.00241071,0.59850000,-0.27486187,4.00000000
PEMS07,625,202,mmr,0.00122825,0.54300000,-0.77713031,4.00000000
PEMS07,625,202,static_utility,0.00921189,0.46000000,-1.32045341,4.00000000
PEMS07,625,202,cached_mur,0.00718642,0.42400000,-1.17395735,3.11350000
PEMS07,625,202,oracle_static,0.03009115,0.10450000,0.63903105,3.95950000
PEMS07,625,202,oracle_greedy,0.03308138,0.00000000,1.00000000,3.89850000
PEMS07,625,202,ranked_response_q4,0.01546907,0.34800000,-1.41034472,2.77600000
PEMS07,654,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,654,202,pool_all,0.00218637,0.43700000,-1.22382772,16.00000000
PEMS07,654,202,relevance,-0.00024280,0.53650000,-0.10890853,4.00000000
PEMS07,654,202,mmr,-0.00041596,0.51400000,-0.26536056,4.00000000
PEMS07,654,202,static_utility,0.00120321,0.52800000,-0.77108848,4.00000000
PEMS07,654,202,cached_mur,0.00023256,0.38600000,-0.97629267,1.18800000
PEMS07,654,202,oracle_static,0.01265696,0.06300000,0.78589165,3.97100000
PEMS07,654,202,oracle_greedy,0.01310899,0.00000000,1.00000000,3.95000000
PEMS07,654,202,ranked_response_q4,0.00392522,0.31600000,-0.46533081,2.35450000
PEMS07,682,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,682,202,pool_all,0.02359964,0.32550000,-1.49989319,16.00000000
PEMS07,682,202,relevance,-0.02028590,0.72400000,-1.23736155,4.00000000
PEMS07,682,202,mmr,-0.00330729,0.65900000,-0.77519763,4.00000000
PEMS07,682,202,static_utility,0.01848214,0.34800000,-0.18249460,4.00000000
PEMS07,682,202,cached_mur,0.01465227,0.40600000,-0.37426740,3.16600000
PEMS07,682,202,oracle_static,0.04083396,0.12250000,0.57676840,3.97600000
PEMS07,682,202,oracle_greedy,0.04428911,0.00000000,1.00000000,3.89050000
PEMS07,682,202,ranked_response_q4,0.02279748,0.26500000,-0.40887710,2.79850000
PEMS07,711,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,711,202,pool_all,0.02316464,0.39000000,-1.14399350,16.00000000
PEMS07,711,202,relevance,-0.03492793,0.71000000,-1.07472360,4.00000000
PEMS07,711,202,mmr,-0.00826372,0.60700000,-1.19285274,4.00000000
PEMS07,711,202,static_utility,0.01877877,0.38550000,-0.76406109,4.00000000
PEMS07,711,202,cached_mur,0.01519678,0.43800000,-0.80800873,3.50550000
PEMS07,711,202,oracle_static,0.05309799,0.15350000,0.48831216,3.96750000
PEMS07,711,202,oracle_greedy,0.06347378,0.00000000,1.00000000,3.89300000
PEMS07,711,202,ranked_response_q4,0.03209075,0.28150000,-0.43768644,3.24200000
PEMS07,739,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,739,202,pool_all,0.02080273,0.37100000,-0.84153688,16.00000000
PEMS07,739,202,relevance,-0.01671452,0.66500000,-0.61997437,4.00000000
PEMS07,739,202,mmr,-0.00800039,0.58850000,-0.54054117,4.00000000
PEMS07,739,202,static_utility,0.01200475,0.42950000,-0.25923666,4.00000000
PEMS07,739,202,cached_mur,0.00960369,0.42450000,-0.33563846,3.88550000
PEMS07,739,202,oracle_static,0.05248686,0.08150000,0.71271139,3.97650000
PEMS07,739,202,oracle_greedy,0.05694910,0.00000000,1.00000000,3.94700000
PEMS07,739,202,ranked_response_q4,0.01874442,0.30450000,-0.32029432,3.00200000
PEMS07,768,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,768,202,pool_all,0.01256847,0.42500000,-2.35765314,16.00000000
PEMS07,768,202,relevance,-0.02138568,0.65850000,-5.91174793,4.00000000
PEMS07,768,202,mmr,-0.01816924,0.63200000,-5.52595711,4.00000000
PEMS07,768,202,static_utility,0.00839839,0.44750000,-1.08757937,4.00000000
PEMS07,768,202,cached_mur,0.00877434,0.44950000,-1.36312544,3.58400000
PEMS07,768,202,oracle_static,0.03710705,0.16800000,0.39578071,3.94300000
PEMS07,768,202,oracle_greedy,0.04198303,0.00000000,1.00000000,3.84550000
PEMS07,768,202,ranked_response_q4,0.01713243,0.31100000,-2.92632389,2.88400000
PEMS07,796,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,796,202,pool_all,0.02193515,0.50800000,-2.78972960,16.00000000
PEMS07,796,202,relevance,-0.04310669,0.71400000,-3.37929416,4.00000000
PEMS07,796,202,mmr,-0.03725494,0.66500000,-3.18206930,4.00000000
PEMS07,796,202,static_utility,0.02185111,0.47700000,-1.79784274,4.00000000
