environment,benchmark,policy,gain,paired_lo,paired_hi,hier_lo,hier_hi,delta_static,ds_lo,ds_hi,delta_cached,dc_lo,dc_hi,class_frac_above_static,class_frac_above_cached,mean_selected,mean_distinct_clusters,pass_paired,pass_hier
natural_near_duplicates,cifar10,ranked_response_q2,1.580350,1.522671,1.638030,1.454879,1.678717,-0.130976,-0.188447,-0.073505,-0.028450,-0.081428,0.024529,0.1000,0.2000,2.271,1.425,False,False
natural_near_duplicates,cifar10,ranked_response_q4,1.690734,1.669806,1.711662,1.656871,1.714859,-0.020593,-0.041025,-0.000160,0.081933,0.032981,0.130886,0.3000,0.6000,2.833,1.662,False,False
natural_near_duplicates,cifar10,ranked_response_q8,1.702181,1.694531,1.709832,1.684734,1.719443,-0.009145,-0.014816,-0.003475,0.093381,0.040826,0.145936,0.2000,0.5000,3.242,1.725,False,False
natural_near_duplicates,cifar10,ranked_response_full,1.687579,1.676473,1.698684,1.664066,1.710517,-0.023748,-0.032302,-0.015194,0.078778,0.025416,0.132140,0.0000,0.4000,3.579,1.321,False,False
natural_near_duplicates,cifar10,ranked_response_q2_forced,1.708169,1.701171,1.715166,1.691675,1.724679,-0.003158,-0.008535,0.002220,0.099368,0.047175,0.151562,0.4000,0.4000,4.000,2.325,False,False
natural_near_duplicates,cifar10,ranked_response_q4_forced,1.707399,1.700319,1.714480,1.691120,1.723766,-0.003927,-0.009585,0.001731,0.098599,0.046247,0.150952,0.5000,0.6000,4.000,2.363,False,False
natural_near_duplicates,cifar10,ranked_response_q8_forced,1.703388,1.695471,1.711304,1.685988,1.721418,-0.007939,-0.013810,-0.002067,0.094587,0.041990,0.147185,0.4000,0.4000,4.000,2.167,False,False
natural_near_duplicates,cifar10,ranked_response_full_forced,1.689594,1.678276,1.700913,1.665941,1.713131,-0.021732,-0.030496,-0.012968,0.080794,0.027475,0.134113,0.1000,0.4000,4.000,1.533,False,False
natural_near_duplicates,cifar100,ranked_response_q2,2.434214,2.391632,2.476797,2.363789,2.496998,-0.089947,-0.132370,-0.047523,0.065141,0.003524,0.126758,0.5700,0.7100,3.338,2.223,False,False
natural_near_duplicates,cifar100,ranked_response_q4,2.534333,2.524536,2.544131,2.518055,2.545586,0.010172,-0.005493,0.025837,0.165260,0.113790,0.216730,0.5400,0.7500,3.885,2.585,False,False
natural_near_duplicates,cifar100,ranked_response_q8,2.525982,2.520527,2.531436,2.516510,2.535255,0.001820,-0.011452,0.015093,0.156908,0.106238,0.207578,0.3800,0.5800,3.962,2.592,False,False
natural_near_duplicates,cifar100,ranked_response_full,2.491475,2.485668,2.497283,2.482393,2.500961,-0.032686,-0.046627,-0.018745,0.122402,0.071298,0.173506,0.1600,0.3900,3.987,2.412,False,False
natural_near_duplicates,cifar100,ranked_response_q2_forced,2.534098,2.523554,2.544641,2.515489,2.546766,0.009936,-0.005734,0.025607,0.165024,0.115370,0.214678,0.6000,0.7800,4.000,2.488,False,False
natural_near_duplicates,cifar100,ranked_response_q4_forced,2.538772,2.533587,2.543957,2.529748,2.547730,0.014611,0.001474,0.027747,0.169699,0.119026,0.220371,0.5400,0.7600,4.000,2.648,True,True
natural_near_duplicates,cifar100,ranked_response_q8_forced,2.526253,2.520802,2.531703,2.516964,2.535462,0.002091,-0.011174,0.015357,0.157179,0.106515,0.207843,0.3800,0.5800,4.000,2.617,False,False
natural_near_duplicates,cifar100,ranked_response_full_forced,2.491489,2.485680,2.497297,2.482393,2.500982,-0.032673,-0.046613,-0.018732,0.122415,0.071311,0.173519,0.1600,0.3900,4.000,2.422,False,False
natural_near_duplicates,dtd,ranked_response_q2,2.021472,2.000421,2.042522,1.984128,2.053451,-0.019571,-0.048438,0.009296,0.102639,0.044152,0.161126,0.3830,0.3617,2.496,1.284,False,False
natural_near_duplicates,dtd,ranked_response_q4,2.017369,2.001821,2.032917,1.987933,2.044577,-0.023674,-0.047303,-0.000044,0.098537,0.037463,0.159610,0.2553,0.3830,2.777,1.344,False,False
natural_near_duplicates,dtd,ranked_response_q8,1.975945,1.960577,1.991313,1.946745,2.002972,-0.065098,-0.088494,-0.041701,0.057112,-0.005212,0.119436,0.1277,0.2340,3.188,1.312,False,False
natural_near_duplicates,dtd,ranked_response_full,1.902766,1.888002,1.917531,1.876452,1.928969,-0.138277,-0.161250,-0.115303,-0.016066,-0.081789,0.049656,0.0213,0.1702,3.887,1.326,False,False
natural_near_duplicates,dtd,ranked_response_q2_forced,2.033923,2.019025,2.048821,2.005746,2.060864,-0.007120,-0.031291,0.017052,0.115091,0.055274,0.174907,0.4043,0.4468,4.000,2.184,False,False
natural_near_duplicates,dtd,ranked_response_q4_forced,2.018234,2.002868,2.033599,1.989136,2.046304,-0.022809,-0.046329,0.000710,0.099401,0.038806,0.159996,0.2766,0.3191,4.000,2.060,False,False
natural_near_duplicates,dtd,ranked_response_q8_forced,1.975809,1.960575,1.991043,1.947587,2.001925,-0.065234,-0.088575,-0.041893,0.056976,-0.005335,0.119287,0.1489,0.2340,4.000,1.723,False,False
natural_near_duplicates,dtd,ranked_response_full_forced,1.901258,1.886469,1.916046,1.875431,1.927335,-0.139785,-0.162768,-0.116803,-0.017575,-0.083341,0.048191,0.0213,0.1702,4.000,1.340,False,False
natural_near_duplicates,eurosat,ranked_response_q2,1.383891,1.306170,1.461612,1.158141,1.566247,-0.072035,-0.158651,0.014581,-0.044862,-0.106053,0.016330,0.3000,0.3000,2.079,1.363,False,False
natural_near_duplicates,eurosat,ranked_response_q4,1.580570,1.539022,1.622118,1.489539,1.645837,0.124644,0.046719,0.202569,0.151817,0.083942,0.219692,0.5000,0.6000,2.900,1.767,True,False
natural_near_duplicates,eurosat,ranked_response_q8,1.629343,1.614330,1.644356,1.593644,1.663684,0.173417,0.100912,0.245923,0.200591,0.125465,0.275716,0.5000,0.5000,3.471,2.046,True,False
natural_near_duplicates,eurosat,ranked_response_full,1.586770,1.568747,1.604794,1.546690,1.627357,0.130844,0.057326,0.204362,0.158018,0.080364,0.235671,0.3000,0.4000,3.737,1.804,True,False
natural_near_duplicates,eurosat,ranked_response_q2_forced,1.651791,1.639848,1.663735,1.623913,1.679354,0.195865,0.124466,0.267265,0.223039,0.148521,0.297556,0.7000,0.5000,4.000,2.246,True,True
natural_near_duplicates,eurosat,ranked_response_q4_forced,1.644000,1.631232,1.656769,1.612539,1.674798,0.188074,0.116429,0.259719,0.215248,0.140690,0.289805,0.5000,0.6000,4.000,2.337,True,False
natural_near_duplicates,eurosat,ranked_response_q8_forced,1.627225,1.612077,1.642373,1.592301,1.661238,0.171299,0.098933,0.243664,0.198472,0.123317,0.273628,0.3000,0.5000,4.000,2.333,True,False
natural_near_duplicates,eurosat,ranked_response_full_forced,1.586568,1.568591,1.604546,1.546761,1.627253,0.130643,0.057205,0.204080,0.157816,0.080241,0.235391,0.3000,0.4000,4.000,1.971,True,False
natural_near_duplicates,svhn,ranked_response_q2,1.503024,1.439095,1.566954,1.310345,1.643722,-0.009145,-0.059653,0.041364,0.096251,0.040215,0.152286,0.7000,0.9000,3.400,2.192,False,False
natural_near_duplicates,svhn,ranked_response_q4,1.562794,1.516287,1.609302,1.417523,1.657940,0.050625,0.013558,0.087692,0.156021,0.100330,0.211711,0.7000,1.0000,3.708,2.375,True,False
natural_near_duplicates,svhn,ranked_response_q8,1.589588,1.555014,1.624163,1.480749,1.660966,0.077419,0.049458,0.105381,0.182815,0.125501,0.240129,0.8000,1.0000,3.788,2.508,True,True
natural_near_duplicates,svhn,ranked_response_full,1.582737,1.551559,1.613914,1.485797,1.651147,0.070567,0.037267,0.103868,0.175963,0.117420,0.234506,0.8000,0.9000,3.846,2.592,True,True
natural_near_duplicates,svhn,ranked_response_q2_forced,1.553660,1.519559,1.587762,1.432049,1.634663,0.041491,0.004685,0.078297,0.146887,0.095159,0.198614,0.7000,1.0000,4.000,2.450,True,False
natural_near_duplicates,svhn,ranked_response_q4_forced,1.600471,1.578931,1.622011,1.526736,1.655757,0.088301,0.054842,0.121761,0.193697,0.135566,0.251828,0.8000,1.0000,4.000,2.529,True,True
natural_near_duplicates,svhn,ranked_response_q8_forced,1.606714,1.586796,1.626632,1.541282,1.658443,0.094545,0.060412,0.128677,0.199940,0.139105,0.260776,0.8000,1.0000,4.000,2.629,True,True
natural_near_duplicates,svhn,ranked_response_full_forced,1.594006,1.572579,1.615433,1.526747,1.647807,0.081837,0.047286,0.116388,0.187233,0.126015,0.248450,0.8000,0.9000,4.000,2.671,True,True
