dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
METRLA,0,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,0,101,pool_all,0.00153941,0.51900000,-466080.75000000,16.00000000
METRLA,0,101,random,0.00111384,0.51000000,-316421.93750000,4.00000000
METRLA,0,101,relevance,0.00426932,0.51550000,-273860.25000000,4.00000000
METRLA,0,101,mmr,0.00559456,0.48750000,-301990.25000000,4.00000000
METRLA,0,101,facility_location,-0.00082373,0.49650000,-262108.78125000,4.00000000
METRLA,0,101,dpp,0.00510027,0.50650000,-289951.03125000,4.00000000
METRLA,0,101,static_utility,-0.00191187,0.55100000,-363029.31250000,4.00000000
METRLA,0,101,cached_mur,-0.00056083,0.52950000,-393859.12500000,2.94650000
METRLA,0,101,oracle_static,0.06616817,0.12650000,0.64025694,2.95100000
METRLA,0,101,oracle_greedy,0.08365599,0.05550000,1.00000000,2.07700000
METRLA,0,101,ranked_response_q4,-0.00402250,0.49400000,-357947.15625000,2.50750000
METRLA,0,101,ranked_response_q8,-0.00593791,0.50000000,-368992.43750000,2.97750000
METRLA,0,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,0,202,pool_all,0.00937231,0.43050000,-67348.69531250,16.00000000
METRLA,0,202,random,0.00406190,0.39800000,-73188.33593750,4.00000000
METRLA,0,202,relevance,0.01207750,0.30400000,-53250.25781250,4.00000000
METRLA,0,202,mmr,0.01223214,0.43350000,-66043.00000000,4.00000000
METRLA,0,202,facility_location,0.00968622,0.32350000,-54947.32421875,4.00000000
METRLA,0,202,dpp,0.01460766,0.38750000,-82801.48437500,4.00000000
METRLA,0,202,static_utility,0.01030253,0.46800000,-111538.69531250,4.00000000
METRLA,0,202,cached_mur,0.01203651,0.49900000,-39374.61718750,2.78450000
METRLA,0,202,oracle_static,0.06636129,0.04200000,0.80406404,3.47150000
METRLA,0,202,oracle_greedy,0.08101692,0.02200000,1.00000000,2.69850000
METRLA,0,202,ranked_response_q4,0.01405594,0.49900000,-71918.54687500,2.35000000
METRLA,0,202,ranked_response_q8,0.01039006,0.51150000,-59641.55468750,2.90150000
METRLA,29,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,29,101,pool_all,0.00747835,0.48450000,-153743.15625000,16.00000000
METRLA,29,101,random,-0.00025078,0.49750000,-131360.65625000,4.00000000
METRLA,29,101,relevance,-0.00081030,0.50650000,-137605.06250000,4.00000000
METRLA,29,101,mmr,0.00277752,0.50100000,-159963.09375000,4.00000000
METRLA,29,101,facility_location,-0.00597851,0.51200000,-175624.57812500,4.00000000
METRLA,29,101,dpp,-0.00168114,0.51550000,-153174.10937500,4.00000000
METRLA,29,101,static_utility,-0.00172929,0.48100000,-135755.01562500,4.00000000
METRLA,29,101,cached_mur,0.00091043,0.52200000,-173722.54687500,3.17250000
METRLA,29,101,oracle_static,0.06736219,0.09150000,0.71626979,3.07700000
METRLA,29,101,oracle_greedy,0.08569397,0.05450000,1.00000000,2.15750000
METRLA,29,101,ranked_response_q4,-0.01330081,0.49850000,-135958.76562500,2.82550000
METRLA,29,101,ranked_response_q8,-0.01478701,0.50650000,-151811.57812500,3.26550000
METRLA,29,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,29,202,pool_all,0.01348811,0.50950000,-242486.29687500,16.00000000
METRLA,29,202,random,0.01023946,0.50700000,-229487.35937500,4.00000000
METRLA,29,202,relevance,0.01047524,0.50300000,-260394.32812500,4.00000000
METRLA,29,202,mmr,0.01482862,0.49700000,-208840.43750000,4.00000000
METRLA,29,202,facility_location,0.01072308,0.55850000,-284685.03125000,4.00000000
METRLA,29,202,dpp,0.01187319,0.50400000,-224758.98437500,4.00000000
METRLA,29,202,static_utility,0.00953262,0.51900000,-262386.71875000,4.00000000
METRLA,29,202,cached_mur,0.00451682,0.53050000,-277151.46875000,1.90050000
METRLA,29,202,oracle_static,0.06239512,0.12100000,0.70021409,2.85500000
METRLA,29,202,oracle_greedy,0.07933799,0.07300000,1.00000000,1.87500000
METRLA,29,202,ranked_response_q4,0.00579856,0.50300000,-263631.75000000,3.34250000
METRLA,29,202,ranked_response_q8,0.00559408,0.49850000,-276927.34375000,3.58900000
METRLA,58,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,58,101,pool_all,0.00751580,0.46950000,-477088.59375000,16.00000000
METRLA,58,101,random,0.01090693,0.46600000,-305229.71875000,4.00000000
METRLA,58,101,relevance,0.00402566,0.50250000,-81485.76562500,4.00000000
METRLA,58,101,mmr,0.00725130,0.50050000,-71236.93750000,4.00000000
METRLA,58,101,facility_location,-0.00436107,0.54200000,-784443.68750000,4.00000000
METRLA,58,101,dpp,0.00752066,0.51250000,-87237.47656250,4.00000000
METRLA,58,101,static_utility,0.00532301,0.46600000,-156814.21875000,4.00000000
METRLA,58,101,cached_mur,0.00250783,0.48000000,-79868.71093750,3.45350000
METRLA,58,101,oracle_static,0.07870509,0.07200000,0.71737933,3.16650000
METRLA,58,101,oracle_greedy,0.09647667,0.03550000,1.00000000,2.01350000
METRLA,58,101,ranked_response_q4,0.00070019,0.40450000,-68316.99218750,1.79350000
METRLA,58,101,ranked_response_q8,0.00638316,0.41500000,-124860.88281250,2.63250000
METRLA,58,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,58,202,pool_all,0.00773642,0.45550000,-116031.00781250,16.00000000
METRLA,58,202,random,0.00443271,0.46050000,-125549.21093750,4.00000000
METRLA,58,202,relevance,0.00125971,0.44350000,-112454.01562500,4.00000000
METRLA,58,202,mmr,-0.00180947,0.44450000,-105231.36718750,4.00000000
METRLA,58,202,facility_location,0.00918901,0.51800000,-123109.57812500,4.00000000
METRLA,58,202,dpp,-0.00193504,0.45850000,-106643.92968750,4.00000000
METRLA,58,202,static_utility,0.00401536,0.45500000,-120100.68750000,4.00000000
METRLA,58,202,cached_mur,0.00293069,0.49700000,-140805.76562500,3.61350000
METRLA,58,202,oracle_static,0.06439200,0.08200000,0.68283522,3.25250000
METRLA,58,202,oracle_greedy,0.08335980,0.02650000,1.00000000,1.90400000
METRLA,58,202,ranked_response_q4,0.00160008,0.46400000,-118797.46875000,2.96450000
METRLA,58,202,ranked_response_q8,0.00235639,0.45650000,-143470.42187500,3.26250000
METRLA,88,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,88,101,pool_all,-0.00100205,0.41800000,-351702.28125000,16.00000000
METRLA,88,101,random,0.00190969,0.45850000,-327161.53125000,4.00000000
METRLA,88,101,relevance,-0.00202842,0.44550000,-334872.81250000,4.00000000
METRLA,88,101,mmr,-0.00298951,0.41600000,-322211.09375000,4.00000000
METRLA,88,101,facility_location,-0.00074911,0.51850000,-418549.65625000,4.00000000
METRLA,88,101,dpp,-0.00433155,0.43250000,-318309.81250000,4.00000000
METRLA,88,101,static_utility,-0.00063128,0.41300000,-260460.23437500,4.00000000
METRLA,88,101,cached_mur,-0.00290864,0.45000000,-302539.21875000,2.92650000
METRLA,88,101,oracle_static,0.05327635,0.10700000,0.75569314,2.89300000
METRLA,88,101,oracle_greedy,0.06786537,0.07650000,1.00000000,1.96000000
METRLA,88,101,ranked_response_q4,-0.00218947,0.41650000,-174381.40625000,2.73700000
METRLA,88,101,ranked_response_q8,-0.00237399,0.41200000,-153458.90625000,2.95500000
METRLA,88,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,88,202,pool_all,0.01769876,0.39300000,-172219.17187500,16.00000000
METRLA,88,202,random,0.01213201,0.41350000,-200766.57812500,4.00000000
METRLA,88,202,relevance,0.00964863,0.42350000,-165079.10937500,4.00000000
METRLA,88,202,mmr,0.00917015,0.41450000,-158042.20312500,4.00000000
METRLA,88,202,facility_location,0.01287553,0.48750000,-253668.29687500,4.00000000
METRLA,88,202,dpp,0.01044567,0.44150000,-162832.01562500,4.00000000
METRLA,88,202,static_utility,0.01183406,0.46800000,-264131.28125000,4.00000000
METRLA,88,202,cached_mur,0.01059199,0.42650000,-172319.84375000,3.46700000
METRLA,88,202,oracle_static,0.05496962,0.08600000,0.73714292,3.03800000
METRLA,88,202,oracle_greedy,0.06943636,0.05300000,1.00000000,2.15300000
METRLA,88,202,ranked_response_q4,0.00751585,0.40250000,-158694.90625000,2.78050000
METRLA,88,202,ranked_response_q8,0.01002064,0.38300000,-159357.00000000,3.24350000
METRLA,117,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,117,101,pool_all,-0.01274038,0.43300000,-233222.84375000,16.00000000
METRLA,117,101,random,-0.01377037,0.45400000,-200869.57812500,4.00000000
METRLA,117,101,relevance,-0.00220663,0.44450000,-194886.64062500,4.00000000
METRLA,117,101,mmr,-0.01066654,0.49250000,-288487.37500000,4.00000000
METRLA,117,101,facility_location,-0.01315589,0.43550000,-179888.81250000,4.00000000
METRLA,117,101,dpp,-0.00849079,0.46800000,-271675.75000000,4.00000000
METRLA,117,101,static_utility,-0.01518058,0.51700000,-434501.84375000,4.00000000
METRLA,117,101,cached_mur,-0.01540970,0.51550000,-428000.15625000,2.58500000
METRLA,117,101,oracle_static,0.06825515,0.05450000,0.75846815,3.25300000
METRLA,117,101,oracle_greedy,0.08597304,0.03250000,1.00000000,2.54350000
METRLA,117,101,ranked_response_q4,-0.00930532,0.56250000,-444018.68750000,2.48450000
METRLA,117,101,ranked_response_q8,-0.01267052,0.57850000,-442995.37500000,2.86150000
METRLA,117,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,117,202,pool_all,-0.00247802,0.44650000,-146266.20312500,16.00000000
METRLA,117,202,random,-0.00175265,0.44750000,-143746.46875000,4.00000000
METRLA,117,202,relevance,0.00355027,0.40250000,-95002.17968750,4.00000000
METRLA,117,202,mmr,-0.00238464,0.49450000,-135780.29687500,4.00000000
METRLA,117,202,facility_location,-0.01047568,0.43850000,-162237.39062500,4.00000000
METRLA,117,202,dpp,0.00179936,0.45850000,-117986.71875000,4.00000000
METRLA,117,202,static_utility,-0.00411308,0.46250000,-153093.43750000,4.00000000
METRLA,117,202,cached_mur,0.00247855,0.52100000,-168488.26562500,2.62350000
METRLA,117,202,oracle_static,0.07412505,0.04300000,0.80729830,3.45600000
METRLA,117,202,oracle_greedy,0.08941955,0.02450000,1.00000000,2.53550000
METRLA,117,202,ranked_response_q4,0.00155474,0.52400000,-104620.21875000,3.34900000
METRLA,117,202,ranked_response_q8,0.00105766,0.52350000,-104396.60156250,3.64850000
METRLA,147,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,147,101,pool_all,0.01292753,0.50750000,-508282.12500000,16.00000000
METRLA,147,101,random,0.00905383,0.52700000,-507232.65625000,4.00000000
METRLA,147,101,relevance,0.00315533,0.60850000,-258520.20312500,4.00000000
METRLA,147,101,mmr,0.00664372,0.58400000,-315410.62500000,4.00000000
METRLA,147,101,facility_location,0.00684234,0.56200000,-666586.56250000,4.00000000
METRLA,147,101,dpp,0.00721657,0.63050000,-314119.00000000,4.00000000
METRLA,147,101,static_utility,0.00630909,0.53900000,-300552.93750000,4.00000000
METRLA,147,101,cached_mur,0.00848761,0.57800000,-256287.37500000,3.35500000
