dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
METRLA,0,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,0,101,pool_all,0.03767896,0.50300000,-2.13795972,16.00000000
METRLA,0,101,relevance,-0.03274213,0.74950000,-1.07915628,4.00000000
METRLA,0,101,mmr,-0.02613263,0.71050000,-2.53124309,4.00000000
METRLA,0,101,static_utility,0.01856555,0.51150000,-1.21614957,4.00000000
METRLA,0,101,cached_mur,0.02753326,0.33800000,-0.63836205,2.60900000
METRLA,0,101,oneshot_response,0.02753443,0.42750000,-1.66149366,3.16400000
METRLA,0,101,oracle_static,0.16627721,0.12900000,0.54564357,3.96050000
METRLA,0,101,oracle_greedy,0.18609147,0.00000000,1.00000000,3.83750000
METRLA,0,101,ranked_response_q4,0.03601830,0.27350000,-0.68041450,2.50900000
METRLA,29,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,29,101,pool_all,0.02863021,0.56300000,-7.73011398,16.00000000
METRLA,29,101,relevance,0.00085134,0.44150000,-3.24768114,4.00000000
METRLA,29,101,mmr,0.00307849,0.55750000,-5.74260759,4.00000000
METRLA,29,101,static_utility,0.03453678,0.54350000,-4.39878654,4.00000000
METRLA,29,101,cached_mur,0.04956222,0.44850000,-3.61570358,2.82300000
METRLA,29,101,oneshot_response,0.00122039,0.41450000,-4.09999800,3.53250000
METRLA,29,101,oracle_static,0.16397710,0.22900000,0.17801255,3.88700000
METRLA,29,101,oracle_greedy,0.19866143,0.00000000,1.00000000,3.71500000
METRLA,29,101,ranked_response_q4,0.04708385,0.35800000,-2.44159794,2.96650000
METRLA,58,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
METRLA,58,101,pool_all,0.02092554,0.54850000,-2.09690547,16.00000000
METRLA,58,101,relevance,-0.01331827,0.63500000,-0.45327321,4.00000000
METRLA,58,101,mmr,-0.01120633,0.59850000,-0.90803796,4.00000000
METRLA,58,101,static_utility,-0.00705849,0.53450000,-0.56867123,4.00000000
METRLA,58,101,cached_mur,0.01509512,0.47300000,-0.49008280,2.64950000
METRLA,58,101,oneshot_response,0.01546905,0.57700000,-1.66196299,3.71550000
METRLA,58,101,oracle_static,0.17408805,0.03150000,0.85312700,3.97650000
METRLA,58,101,oracle_greedy,0.18235764,0.00000000,1.00000000,3.95250000
METRLA,58,101,ranked_response_q4,0.02784436,0.50550000,-0.70366138,3.05800000
METRLA,88,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
